Text,Neg Senti,Neut Senti,Neg Senti,Real Lat,Real Lon,Real Country,Real Conti,Predicted Lat,Predicted Lon,,,,,lat error,lon error
"""#yyc #hailstorm #christmas came early https://t.co/f0A2IIzx3A""",0.044942949,0.799522758,0.155534312,-75.06855774,40.38140488,Australia,Australia,34.48087628,-70.34082361,none,none,,,109.549434,110.7222285
"""On 70th anniversary of #Hiroshima bomb it is important to learn from history and ban this weapon.""",0.34214589,0.602960169,0.054893915,114.208252,32.54056931,Canada,NA,33.36821167,-67.78567959,none,none,,,80.84004033,100.3262489
"""@wral there are now 5 fire trucks and 2 ambulances at Wellington ridge lp in Cary. one of the units is on fire. not sure on injuries""",0.424480766,0.544353843,0.031165387,-32.85007858,44.89552689,India,Asia,33.06459335,-67.06927359,none,none,,,65.91467193,111.9648005
"""Plane debris is from #MH370 - it was a controlled crash. In other words it was mass murder by a musim http://t.co/J3xFDg9CWF @newscomauHQ""",0.834611058,0.1592931,0.006095863,101.5725479,2.607400894,USA,NA,31.6120202,-63.51097493,none,none,,,69.9605277,66.11837582
"""Police continue to investigate fatal shooting on Vermont &amp; 14th Street http://t.co/daACJ5Hfmq""",0.487207592,0.498783052,0.014009415,-73.12710571,43.97462845,USA,NA,32.8338963,-66.52358211,none,none,,,105.961002,110.4982106
"""Ukraine famine memorial in progress since 2006 goes up in Washington: http://t.co/Td7VIEoODi""",0.151495025,0.818654895,0.029850084,-121.1128693,47.39171982,USA,NA,34.02103021,-69.41735843,none,none,,,155.1338995,116.8090783
"""@gtiso Fair enough. Change always has unfortunate casualties. I like that @NzMorningReport utilises both Welly &amp; Aucklnd. We'll see.""",0.101517372,0.486101687,0.412380993,20.66262054,0.262911707,USA,NA,34.43631112,-69.91016307,none,none,,,13.77369058,70.17307478
"""Abe proposed a new plan for abolishing nuclear weapons. Yesterday his defense minister made clear nukes are fine. http://t.co/A6IR8rKuwS""",0.124989629,0.683767855,0.191242442,-85.75057983,39.14452362,Japan,Asia,34.21934117,-69.66880658,none,none,,,119.969921,108.8133302
#Nepal Magnitude 4.3 tremor rattles #Dolakha as #aftershock counts 367 | Recent Natural Disasters : http://t.co/Re1d5ffcSx,0.257447839,0.710969865,0.031582341,28.3949,-84.124,Asia,Nepal,33.64876393,-68.51743119,none,none,,,5.25386393,15.60656881
More Severe Weather Heads Toward Chicago Area: A brief violent storm swept through the Chicago area Sunday af... http://t.co/JWSLLsuKjg,0.199344888,0.760922432,0.039732758,27.9517,-87.6324,USA,NA,33.85867896,-69.01288326,none,none,,,5.90697896,18.61951674
Mean,0.352339758,0.572472604,0.075187636,,,,,,,,,,,89.96909324,93.39956525
Median,0.282745645,0.625790984,0.036736286,,,,,,,,,,,89.96909324,93.39956526
Range ,copy.csv]ablation_2.2_results copy'!$B$24,0.833969995,0.407832693,,,,,,,,,,,,
Variance,0.293284894,0.253704712,0.098328024,,,,,,Continents,Number Of Messages,Percentage Of Messages,Countries,Number Of Messages,Percentage Of Messages,
Standard Error of the Mean,0.065580496,0.056730098,0.021986814,,,,,,North America,14,0.7,USA,12,0.6,
,,,,,,,,,Asia,3,0.15,Canada,2,0.1,
,,,,,,,,,Africa,1,0.05,South Africa,1,0.05,
,,,,,,,,,Europe,1,0.05,England,1,0.05,
,,,,,,,,,Australia,1,0.05,Australia,1,0.05,
,,,,,,,,,,,,India,1,0.05,
,,,,,,,,,,,,Japan,1,0.05,
,,,,,,,,,,,,Nepal,1,0.05,
